Source,sub_redos_pattern,count
CVE,EOA_i1,11
CVE,EOA_i3,3
CVE,EOA_ii1,3
CVE,EOD_i,26
CVE,EOD_ii1,2
CVE,EOD_ii2,1
CVE,NQ,10
CVE,POA,181
CVE,SLQ2,145
CVE,SLQ_1,6
CVE,SLQ_2,3
SOLA-DA,NQ,1
SOLA-DA,POA,10
SOLA-DA,SLQ2,16
SOLA-DA,SLQ_1,4
SOLA-DA,SLQ_2,1
