source,group,count
SOLA-DA,L2,17
SOLA-DA,C4,29
SOLA-DA,C3,6
SOLA-DA,C1,4
SOLA-DA,L1,1
SOLA-DA,T3,6
SOLA-DA,C2,10
SOLA-DA,D2,19
SOLA-DA,L3,20
SOLA-DA,T1,20
SOLA-DA,D1,1
SOLA-DA,D3,1
CVE,T3,348
CVE,D2,251
CVE,L3,309
CVE,L2,337
CVE,C3,162
CVE,C4,347
CVE,C2,122
CVE,T1,376
CVE,C1,67
CVE,S1,24
CVE,D1,15
CVE,T2,2
CVE,D3,2
CVE,L1,12
CVE,C5,1
