pattern,group,count
POLYNOMIAL,L2,282
POLYNOMIAL,C4,308
POLYNOMIAL,C3,117
POLYNOMIAL,C1,52
POLYNOMIAL,L1,8
POLYNOMIAL,T3,288
POLYNOMIAL,C2,93
POLYNOMIAL,D2,202
POLYNOMIAL,L3,274
POLYNOMIAL,T1,327
POLYNOMIAL,D3,2
POLYNOMIAL,S1,21
POLYNOMIAL,D1,10
EXPONENT,D1,6
EXPONENT,C4,48
EXPONENT,D2,48
EXPONENT,L3,38
EXPONENT,C1,14
EXPONENT,L2,53
EXPONENT,T1,48
EXPONENT,T3,47
EXPONENT,C3,33
EXPONENT,C2,25
EXPONENT,T2,2
EXPONENT,D3,1
EXPONENT,L1,3
EXPONENT,C5,1
EXPONENT,S1,3
