prompt_type,group,count
raw,C4,61
raw,D2,54
raw,T1,301
raw,L2,311
raw,L3,87
raw,C1,189
raw,T3,17
raw,D1,24
raw,S1,56
raw,C5,23
raw,C3,12
raw,C2,15
raw,L1,12
raw,S2,1
refined,C3,15
refined,L2,345
refined,L3,91
refined,D2,33
refined,C1,187
refined,C4,40
refined,T1,354
refined,T3,7
refined,C5,4
refined,C2,6
refined,L1,8
refined,S1,54
refined,D1,4
