pattern,group,count
POLYNOMIAL,T1,639
POLYNOMIAL,D2,78
POLYNOMIAL,C4,93
POLYNOMIAL,L3,161
POLYNOMIAL,L2,639
POLYNOMIAL,C1,365
POLYNOMIAL,T3,24
POLYNOMIAL,D1,26
POLYNOMIAL,S1,110
POLYNOMIAL,C5,24
POLYNOMIAL,C3,25
POLYNOMIAL,C2,19
POLYNOMIAL,L1,20
POLYNOMIAL,S2,1
EXPONENT,T1,16
EXPONENT,D1,2
EXPONENT,D2,9
EXPONENT,L3,15
EXPONENT,C1,11
EXPONENT,L2,15
EXPONENT,C4,8
EXPONENT,C3,2
EXPONENT,C2,2
EXPONENT,C5,3
