model_name,group,count
GPT3.5,C4,29
GPT3.5,D2,37
GPT3.5,T1,45
GPT3.5,L2,47
GPT3.5,L3,49
GPT3.5,C1,32
GPT3.5,T3,5
GPT3.5,D1,5
GPT3.5,S1,5
GPT3.5,C5,4
GPT3.5,C3,11
GPT3.5,C2,1
Phi,C4,66
Phi,L3,75
Phi,T1,91
Phi,D2,50
Phi,C2,15
Phi,D1,11
Phi,L2,87
Phi,C1,55
Phi,S1,10
Phi,C3,16
Phi,L1,4
Phi,T3,8
Phi,C5,8
T5,L2,522
T5,T1,519
T5,C1,289
T5,S1,95
T5,L1,16
T5,T3,11
T5,D1,12
T5,C2,5
T5,C4,6
T5,L3,54
T5,S2,1
T5,C5,15
